folder,used_in_e1_parameter_estimation,used_in_candidate_a_sigma_median,present_in_real_surrogate_evaluation,current_overlap,future_separation_plan,evaluation_independence_limitation
1,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
2,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
4,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
5,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
7,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
8,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
9,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
10,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
11,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
13,True,True,True,YES,NOT-FROZEN: pre-register folder-blocked calibration/evaluation roles before CG; do not choose roles from denoising outcomes,"E1 and Candidate A already inspected all folders, so future evaluation is controlled holdout rather than pristine external test"
