source_id,source_name,absolute_path,disk,source_type,dataset_name,source_provenance,provenance_status,official_reference,license_status,file_count,image_count,dtype,shape,channel_layout,bit_depth,processing_status,source_scene_available,source_group_available,official_split_available,isolation_level,independence_from_scmos,used_in_e1,used_in_generator_design,used_in_training,used_in_checkpoint_selection,allowed_role,prohibited_roles,allowed_operations,prohibited_operations,preprocessing_status,source_audit_report,source_audit_commit,leakage_risk,domain_limitation,final_status,notes
scmos_500ms_current_100,sCMOS-derived operational content source,F:\目标传感器噪声参数估计\data\500ms,F:,operational content,local sCMOS 500 ms,Configured bounded candidate; no source files modified.,AUDITED,,unknown,100,100,uint16,2048x2048,single-channel,16,unknown,False,False,False,single_unknown_source_group,Current single unknown source group,False,True,False,False,debug_only,training_content_only;validation_content_only,generator smoke;numerical audit;debug;non-independent preview,formal training;validation;checkpoint selection;internal train-validation split,FROZEN-DEBUG-ONLY,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Current single unknown source group,Highly homogeneous; scene and acquisition group unknown,DEBUG-ONLY,All 100 entries remain debug_only.
pmrid_official_benchmark_gt_raw,Independent PMRID validation content source,E:\PMRID-Pytorch-main\PMRID\PMRID,E:,benchmark reference RAW content,PMRID ECCV 2020,"Official MegEngine/PMRID ECCV 2020 repository, benchmark.json and local README structure agree",AUDITED,https://github.com/MegEngine/PMRID,Apache-2.0,39,39,uint16,3000x4000,BGGR Bayer mosaic,16,official paired mobile Bayer RAW benchmark GT,True,True,True,dataset-level and official scene-level,"Different public smartphone dataset/device; exact matches=0, perceptual-hash matches=0, max correlation=0.336421, max SSIM=0.340311",False,False,False,False,validation_content_only,training_content_only;debug_only,generator numerical check;content-isolation validation;scene-blocked validation;fixed-residual numerical check,training;Candidate A tuning;ICCD performance claim;ICCD physical-noise claim;file-level random split,NOT-FROZEN,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Low for Candidate A; high if a PMRID-tuned checkpoint is treated as independent,"Mobile Bayer RAW content domain, not ICCD content or ICCD ground truth",VALIDATION-READY,GT denotes PMRID benchmark reference only.
scmos_other_exposures,Other local sCMOS exposures,F:\目标传感器噪声参数估计\data,F:,operational content,local sCMOS exposure family,Local exposure series with acquisition-time filenames but no independent scene manifest,AUDITED,,unknown,2900,2900,uint16,2048x2048,single-channel,16,processing status unknown,False,False,False,source-level only,"Same device, date family and highly related acquisition as current 500 ms source",False,True,True,True,debug_only,training_content_only;validation_content_only,debug;numerical audit,formal training;checkpoint selection;cross-role reuse,NOT-FROZEN,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,High source/content overlap risk,Same device/acquisition family; independent scenes unverified,DEBUG-ONLY,Exposure directories only; no defensible independent scene groups
pmrid4_validation_previews,PMRID4 validation previews,D:/PMRID4/data/val_cmos_images,D:,derived preview,local PMRID4,Generated by D:/PMRID4/TIFPatchDataLoader.py,AUDITED,,unknown,30,30,uint8,2048x2048,single-channel,8,derived uint8 validation previews,False,False,False,source-level only,Derived from historical PMRID4 validation pairs,False,False,False,True,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Explicit historical validation derivative,Not accepted as independent formal training/validation content,EXCLUDED,Historical derived validation previews; no evidence they were training content.
pangan_local_public_samples,PNGAN local public samples,E:/PNGAN-main/datasets,E:,incomplete benchmark samples,PNGAN bundled samples,Dataset names documented by parent PNGAN README; local folders are sparse samples rather than complete datasets,AUDITED,,unknown,39,39,uint8,256x256x3;321x481x3;473x473x4;512x512x3;772x1024x3,mixed RGB/RGBA,8,camera-processed or benchmark-derived PNG/JPEG samples,False,False,False,source-level only,Likely content-independent but local subsets are incomplete,False,True,True,True,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Parent PNGAN explicitly used these datasets for modeling/evaluation,Not accepted as independent formal training/validation content,EXCLUDED,Parent PNGAN project used these named datasets for modeling/evaluation; local subsets are incomplete.
pmrid4_500ms_exact_copy,pmrid4 500ms exact copy,D:/PMRID4/data/500ms,D:,excluded audited source,d_pmrid4_500ms_copy,Local renamed copy,AUDITED,,unknown,100,100,uint16,2048x2048,single-channel,16,same bytes as current source,False,False,False,source-level only,100/100 exact SHA256 overlap with current source,False,False,True,True,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Exact duplicate,Not accepted as independent formal training/validation content,EXCLUDED,No independent scene evidence
pmrid7_historical_exposures,pmrid7 historical exposures,E:\PMRID\PMRID7\data,E:,excluded audited source,e_pmrid7_exposures,Configured bounded candidate; no source files modified.,AUDITED,,unknown,1121,1100,not deeply audited,not deeply audited,single-channel,unknown,not deeply audited,False,False,False,source-level only,Historical training content and same acquisition family,False,False,True,True,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Historical training content and same acquisition family,Not accepted as independent formal training/validation content,EXCLUDED,not accepted
pmrid4_training_cache,pmrid4 training cache,D:\PMRID4\data\cache_train,D:,excluded audited source,d_pmrid4_cache,Configured bounded candidate; no source files modified.,AUDITED,,unknown,400,0,not deeply audited,not deeply audited,single-channel,unknown,not deeply audited,False,False,False,source-level only,Derived training cache,False,False,True,True,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Derived training cache,Not accepted as independent formal training/validation content,EXCLUDED,not accepted
real_iccd_evaluation_frames,real iccd evaluation frames,D:\iccd\data\20260319,D:,excluded audited source,d_real_iccd_evaluation,Configured bounded candidate; no source files modified.,AUDITED,,unknown,2022,2009,not deeply audited,not deeply audited,single-channel,unknown,not deeply audited,False,False,False,source-level only,Real ICCD evaluation data; validation-role leakage,True,True,False,False,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,Real ICCD evaluation data; validation-role leakage,Not accepted as independent formal training/validation content,EXCLUDED,Real ICCD repeated frames used for E1 characterization/evaluation; excluded from content roles.
iccd_pir_calibration_outputs,iccd pir calibration outputs,F:\ICCD_pir,F:,excluded audited source,f_iccd_pir,Configured bounded candidate; no source files modified.,AUDITED,,unknown,672,671,not deeply audited,not deeply audited,single-channel,unknown,not deeply audited,False,False,False,source-level only,ICCD calibration/evaluation and derived outputs,False,True,False,False,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,ICCD calibration/evaluation and derived outputs,Not accepted as independent formal training/validation content,EXCLUDED,not accepted
scmos_dark_frames,scmos dark frames,F:\目标传感器噪声参数估计\data\dark_Background,F:,excluded audited source,f_scmos_dark,Configured bounded candidate; no source files modified.,AUDITED,,unknown,100,100,not deeply audited,not deeply audited,single-channel,unknown,not deeply audited,False,False,False,source-level only,"Dark calibration frames, not content",False,True,False,False,excluded,training_content_only;validation_content_only,provenance audit only,formal training;checkpoint selection;cross-role reuse,NOT-APPLICABLE,reports/e2_validation_source_audit_20260718_v2/verification_report.md,db93103d118606e2a4ae9b7eb49c7606931dbcec,"Dark calibration frames, not content",Not accepted as independent formal training/validation content,EXCLUDED,not accepted
