method_id,method,status,supporting_asset,missing_condition,overclaiming_risk,recommended_terminology,paper_section,priority
M01,standard photon transfer curve,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,"scene leakage, nonlinearity, covariance",high,photon-transfer method only after compliant acquisition,PTC,P3/auxiliary
M02,difference-frame PTC,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,motion/flicker/unequal flats,high,difference-frame PTC only after controlled flat acquisition,PTC,P3/auxiliary
M03,scene-stack temporal mean-variance,PARTIALLY-ELIGIBLE,formal ICCD repeated folders,scene/flicker/ROI confounding,controlled by terminology,observed signal-level/temporal-variance relation; not PTC,PTC,P2
M04,dark-current exposure sequence,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,"untraced darks, compensation, hot-pixel nonlinearity",high,dark-current sequence only after matched acquisition,Dark,P3/auxiliary
M05,temporal dark noise/read-noise proxy,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,unknown compensation/mismatch,high,temporal dark-noise proxy after matched acquisition,Dark,P3/auxiliary
M06,DSNU,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,scene or unmatched dark contamination,high,DSNU only after matched dark acquisition,Spatial,P3/auxiliary
M07,PRNU,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,vignetting/scene texture,high,PRNU only after controlled flat acquisition,Spatial,P3/auxiliary
M08,row/column/pixel spatial variance decomposition,PARTIALLY-ELIGIBLE,formal ICCD repeated folders,scene edges and repeated structure,controlled by terminology,row-profile energy and column-profile energy of temporal residual,Spatial,P2
M09,hot/defect pixel statistics,EXPLORATORY-ONLY,formal ICCD repeated folders,threshold and scene leakage,controlled by terminology,hot-pixel candidate rate,Dark,P3/auxiliary
M10,exposure-response and linearity,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,"folder labels, auto processing",high,observed signal range only until controlled acquisition,Response,P3/auxiliary
M11,saturation and dynamic range,REQUIRES-NEW-ACQUISITION,none satisfying formal prerequisites,sample maxima are not saturation capacity,high,zero/saturation ratios and dynamic-range proxy only,Response,P3/auxiliary
M12,pixelwise temporal mean/std/variance,FORMALLY-ELIGIBLE,formal ICCD repeated folders,motion/flicker/drift,controlled by terminology,pixelwise temporal variability at frozen ROI,Temporal,P1
M13,frame-difference temporal noise,FORMALLY-ELIGIBLE,formal ICCD repeated folders,motion/flicker,controlled by terminology,frame-difference operational temporal noise,Temporal,P1
