task_id,priority,method_family,scientific_question,literature_basis,data_asset,required_conditions,existing_data_eligibility,required_processing,required_script,expected_outputs,paper_value,noise_model_value,overclaiming_risk,effort,requires_training,requires_new_acquisition,blocking_issue
P0-01,P0,Metadata,"Verify whether Exposure width 900 ms is sensor integration, exposure-control pulse, or gate-related control",R01,D:/iccd/data/20260319 PictureInfo plus device documentation,device/acquisition documentation,PARTIALLY-ELIGIBLE,document-only trace,metadata verifier,exposure_metadata_verification.csv,critical,high,high,low,False,False,physical field meaning unknown
P0-02,P0,Scene provenance,Recover same-scene/cross-folder relation and illumination stability,R14,D:/iccd/data/20260319 logs and acquisition notes,scene/acquisition record,PARTIALLY-ELIGIBLE,document and filename trace,scene provenance audit,folder_scene_relation.csv,critical,high,high,medium,False,False,folder brightness is confounded with scene
P0-03,P0,Dark provenance,"Resolve device/settings of alleged 50 ms, 1 s and dark_Background assets",R01;R09,D:/PMRID4; F audit artifacts; acquisition notes,"device, mode, temperature, exposure",NOT-ELIGIBLE,document-only trace,dark provenance audit,dark_asset_compatibility.csv,critical,medium,high,medium,False,False,no matching ICCD dark proven
P0-04,P0,Definition audit,"Freeze temporal residual, PSD normalization, ACF and row/column equations and terminology",R01;R08,existing E1 scripts/reports,code and report consistency,FORMALLY-ELIGIBLE,code-level method trace only,definition consistency checker,metric_definition_registry.csv,critical,high,medium,low,False,False,paper methods must be exactly reproducible
P1-01,P1,Temporal,Difference-frame operational temporal noise by folder,R04;R14,10 formal 200-frame ICCD folders,pre-registered pairing,FORMALLY-ELIGIBLE,pair differences at frozen ROI,difference-frame analysis,folder_difference_noise.csv,high,high,medium,medium,False,False,scene motion/flicker diagnostics required
P1-02,P1,Temporal,Frame-count convergence and positional subset stability,R14;R16,10 formal ICCD folders,ordered frames,FORMALLY-ELIGIBLE,subset estimates,convergence analysis,convergence_curves.csv,high,high,low,medium,False,False,cadence unknown limits time units
P1-03,P1,Correlation,2D temporal-residual covariance and anisotropy,R05;R15,calibration folders only for model parameters,residual definition frozen,FORMALLY-ELIGIBLE,covariance maps and profiles,covariance analysis,covariance_summary.csv,high,high,medium,medium,False,False,must exclude scene/stable mean
P1-04,P1,Frequency,Temporal-residual 2D/radial NPS with directional peaks,R08,formal repeated ICCD folders,window/normalization frozen,FORMALLY-ELIGIBLE,residual NPS,NPS analysis,nps_summary.csv,high,high,medium,medium,False,False,cycles/pixel only without pitch
P1-05,P1,Spatial,Operational row/column/pixel residual variance decomposition,R01;R07,formal repeated ICCD folders,temporal/spatial separation,PARTIALLY-ELIGIBLE,directional decomposition,spatial decomposition,spatial_component_summary.csv,high,high,medium,medium,False,False,cannot call DSNU/PRNU
P1-06,P1,Stability,Sample-count multiscale stability/Allan-like exploratory check,R16;R17,ordered 200-frame folders,ordered frames; cadence optional,EXPLORATORY-ONLY,sample-scale variance,multiscale stability,multiscale_stability.csv,medium,medium,medium,low,False,False,no physical seconds without cadence
P2-01,P2,Restoration,Calibration-only noise-level function uncertainty and range,R19,"calibration folders 1,4,7,8,10,13",folder-blocked fit,PARTIALLY-ELIGIBLE,bootstrap/LOFO operational fit,NLF audit,noise_level_function.csv,high,high,medium,medium,False,False,brightness/scene confounding
P2-02,P2,Restoration,Single correlated residual component feasibility from calibration-only covariance,R08;R19,calibration folders only,positive-definite covariance and leakage audit,PARTIALLY-ELIGIBLE,one-component feasibility only,correlated residual feasibility,correlation_component_candidate.csv,medium,high,high,medium,False,False,CGS not authorized in this stage
P2-03,P2,Restoration,Noise synthesis fidelity metric registry,R19;R21,E1 calibration residual statistics,pre-registered target metrics,FORMALLY-ELIGIBLE,no generation in task design,fidelity protocol,fidelity_metric_registry.csv,medium,high,low,low,False,False,must not tune on holdout
P3-01,P3,PTC,Acquire EMVA-style homogeneous calibrated flat/dark exposure series,R01;R04,new ICCD acquisition,"integrating sphere/diffuse source, radiometry, >=50 points",REQUIRES-NEW-ACQUISITION,controlled acquisition,future acquisition protocol,PTC/linearity/gain/full-well,high,high,high,high,False,True,not executable from current data
P3-02,P3,Dark,Acquire matched capped-dark sequence at >=6 exposures and controlled temperature,R01;R09,new ICCD acquisition,same mode/gain plus temperature,REQUIRES-NEW-ACQUISITION,controlled acquisition,future dark protocol,dark current/read/hot-pixel curves,high,medium,high,high,False,True,not executable from current data
P3-03,P3,Gain detector,Acquire multi-MCP-gain and multi-gate-width flat/event sequences,R10;R12,new ICCD acquisition,"known flux, MCP gain, gate, mode",REQUIRES-NEW-ACQUISITION,controlled acquisition,future intensifier protocol,ENF/gain/afterglow/spread,high,high,high,high,False,True,not executable from current data
P3-04,P3,Spatial,Acquire dark/flat stacks for formal DSNU/PRNU and defect maps,R01;R02,new ICCD acquisition,homogeneous flat plus matched dark,REQUIRES-NEW-ACQUISITION,controlled acquisition,future nonuniformity protocol,DSNU/PRNU/spectrograms,high,medium,high,high,False,True,not executable from current data
