reference_id,title,authors,year,journal_or_standard,doi_or_official_url,reference_class,detector_type,method_family,key_contribution,data_requirements,relevance,limitations,citation_status,accessed_at
R01,EMVA Standard 1288 Release 4.0 Linear,European Machine Vision Association,2021,EMVA 1288,https://www.emva.org/wp-content/uploads/EMVA1288Linear_4.0Release.pdf,STANDARD,CCD/CMOS/scientific camera,PTC; dark current; DSNU/PRNU; linearity,Defines mandatory linear-camera characterization and compliance boundary,"Homogeneous calibrated illumination, dark images, exposure series, fixed camera settings",ICCD stage-1 method/data eligibility,Not ICCD-specific and cannot be claimed without the prescribed setup,VERIFIED,2026-07-20
R02,EMVA Standard 1288 Release 4.0 General,European Machine Vision Association,2020,EMVA 1288,https://www.emva.org/wp-content/uploads/EMVA1288General_4.0Release.pdf,STANDARD,general/nonlinear cameras,temporal/spatial variance; DSNU/PRNU,Extends the standard framework beyond a strictly linear camera,Dark and illuminated stacks with controlled input and known response mapping,ICCD stage-1 method/data eligibility,Still requires controlled characterization data,VERIFIED,2026-07-20
R03,ISO 15739:2023 Photography - Electronic still-picture imaging - Noise measurements,ISO/TC 42,2023,ISO 15739:2023,https://www.iso.org/standard/82233.html,STANDARD,monochrome/color digital still cameras,noise versus signal; dynamic range,Standard methods for reporting noise against signal and dynamic range,Defined signal levels and camera response measurements,ICCD stage-1 method/data eligibility,"Scope is still-picture cameras, not a direct ICCD compliance claim",VERIFIED,2026-07-20
R04,Photon Transfer,James R. Janesick,2007,SPIE Press,https://spie.org/Publications/Book/725073,DETECTOR_REFERENCE,CCD/CMOS,PTC; gain; read noise; full well,Canonical photon-transfer treatment,Raw bias/dark and paired uniform flats across signal levels,ICCD stage-1 method/data eligibility,Book method assumptions must be met; ordinary scenes are not flats,VERIFIED,2026-07-20
R05,The shape of the photon transfer curve of CCD sensors,Pierre Astier et al.,2019,Astronomy & Astrophysics 629 A36,https://doi.org/10.1051/0004-6361/201935508,DETECTOR_PAPER,CCD,PTC; covariance; brighter-fatter,Shows high-flux PTC departures are tied to neighboring-pixel correlations,Large controlled flat-field series,ICCD stage-1 method/data eligibility,Requires flats and cannot be inferred from scene stacks,VERIFIED,2026-07-20
R06,The brighter-fatter effect and pixel correlations in CCD sensors,Pierre Antilogus et al.,2014,Journal of Instrumentation 9 C03048,https://doi.org/10.1088/1748-0221/9/03/C03048,DETECTOR_PAPER,CCD,flat-field covariance; signal-dependent correlation,Connects variance deficits and pixel correlations,Flat fields over flux levels and spot/star data,ICCD stage-1 method/data eligibility,CCD charge redistribution is not automatically an ICCD explanation,VERIFIED,2026-07-20
R07,3D noise photon transfer curve,Bradley L. Preece; David P. Haefner,2022,Applied Optics 61 6202-6212,https://doi.org/10.1364/AO.452166,DETECTOR_PAPER,high-gain imaging sensors,3D spatial variance decomposition; high-gain noise factor,"Separates row, column, pixel, temporal and fixed components",Controlled dark/flat image stacks across signal,ICCD stage-1 method/data eligibility,Seven-plus fitted curves increase data and identifiability requirements,VERIFIED,2026-07-20
R08,Noise Power Spectrum Measurements in Digital Imaging With Gain Nonuniformity Correction,Dong Sik Kim,2016,IEEE Transactions on Image Processing 25,https://doi.org/10.1109/TIP.2016.2574985,DETECTOR_PAPER,digital image sensors,NPS under gain nonuniformity,Shows FPN inflates measured NPS and detrending can be insufficient,Uniform acquisitions and explicit treatment of fixed gain patterns,ICCD stage-1 method/data eligibility,Scene spectra must not be labeled detector NPS,VERIFIED,2026-07-20
R09,Exposure Time Dependence of Dark Current in CCD Imagers,Ralf Widenhorn; Justin C. Dunlap; Erik Bodegom,2010,IEEE Transactions on Electron Devices 57,https://doi.org/10.1109/TED.2009.2038649,DETECTOR_PAPER,scientific CCD,dark mean/current; hot-pixel nonlinearity,Demonstrates pixel-level dark-current nonlinearity and hot-pixel risk,Matched dark frames from 5 to 7200 s at constant temperature,ICCD stage-1 method/data eligibility,"Device, temperature and exposure must match",VERIFIED,2026-07-20
R10,The Noise Performance of Electron Multiplying Charge-Coupled Devices,Mark S. Robbins; Benjamin J. Hadwen,2003,IEEE Transactions on Electron Devices 50,https://doi.org/10.1109/TED.2003.813462,DETECTOR_PAPER,EMCCD,multiplication gain; excess-noise factor,Formal treatment and measurement of multiplication noise,"Controlled illumination, gain settings and photon-transfer measurements",ICCD stage-1 method/data eligibility,"EMCCD multiplication is analogous context, not proof of MCP behavior",VERIFIED,2026-07-20
R11,"Fixed pattern noise in high-resolution, CCD readout photon-counting detectors",R. Michel; J. L. Fordham; H. Kawakami,1997,MNRAS 292 611-620,https://doi.org/10.1093/mnras/292.3.611,DETECTOR_PAPER,photon-counting intensifier/CCD,event-centroid FPN,"Shows event width, centroiding and illumination affect fixed patterns",Photon-counting event data at controlled illumination,ICCD stage-1 method/data eligibility,Not applicable when acquisition mode is analog/unknown,VERIFIED,2026-07-20
R12,A simple approach for characterizing the spatially varying sensitivity of microchannel plate detectors,Denis Aglagul et al.,2022,Review of Scientific Instruments 93 075108,https://doi.org/10.1063/5.0092346,DETECTOR_PAPER,MCP-phosphor,spatial gain variation,Direct MCP spatial-gain characterization,Resolved single electron/photon hits and accumulated exposure,ICCD stage-1 method/data eligibility,Current project lacks resolved hit events,VERIFIED,2026-07-20
R13,On the use of electron-multiplying CCDs for astronomical spectroscopy,Simon M. Tulloch; Vik S. Dhillon,2011,MNRAS 411,https://doi.org/10.1111/j.1365-2966.2010.17675.x,DETECTOR_PAPER,EMCCD,analog versus photon-counting operation; CIC,Clarifies regime-dependent gain noise and photon-counting limitations,"Known EM gain, flux and threshold regime",ICCD stage-1 method/data eligibility,Cannot classify current ICCD mode without acquisition evidence,VERIFIED,2026-07-20
R14,Measuring the Noise of Digital Imaging Sensors by Stacking Raw Images Affected by Vibrations and Illumination Flickering,Francois Sur; Michel Grediac,2015,SIAM Journal on Imaging Sciences,https://doi.org/10.1137/140977035,DETECTOR_PAPER,digital cameras,stack-based temporal noise under nuisance variation,Demonstrates flicker and micro-motion can bias stack noise estimates,Repeated raw static-scene frames with nuisance modeling,ICCD stage-1 method/data eligibility,Current cross-folder scene and illumination stability remain unknown,VERIFIED,2026-07-20
R15,A statistical model for signal-dependent charge sharing in image sensors,Konstantin D. Stefanov,2014,IEEE Transactions on Electron Devices 61,https://doi.org/10.1109/TED.2013.2291448,DETECTOR_PAPER,CCD/image sensor,signal-dependent covariance,Models charge sharing and covariance effects,Controlled flats across signal levels,ICCD stage-1 method/data eligibility,Requires controlled illumination and sensor-level evidence,VERIFIED,2026-07-20
R16,TheoH and Allan Deviation as Power-Law Noise Estimators,J. Taylor; D. A. Howe,2007,IEEE TUFFC 54,https://www.nist.gov/publications/theoh-and-allan-deviation-power-law-noise-estimators-0,DETECTOR_PAPER,time-series metrology,multi-timescale stability,Authoritative stability-estimator background,Ordered samples with known sampling interval,ICCD stage-1 method/data eligibility,Unknown frame interval prevents physical time-scale claims,VERIFIED,2026-07-20
R17,Allan Variance Characterization of Compact Fourier Transform Infrared Spectrometers,George A. Adib; Yasser M. Sabry; Diaa Khalil,2023,Applied Spectroscopy 77,https://doi.org/10.1177/00037028231174248,DETECTOR_PAPER,optical spectrometer,short/long-term instability,Optical-instrument example of separating drift/noise regimes,Time-ordered repeated measurements with timestamps,ICCD stage-1 method/data eligibility,Transferable only as an auxiliary stability method,VERIFIED,2026-07-20
R18,The nonlinear photon transfer curve of CCDs and its effects on photometry,Bin Ma et al.,2014,Science China Physics Mechanics and Astronomy,https://arxiv.org/abs/1407.8280,DETECTOR_PAPER,CCD,nonlinear PTC; charge-sharing PSF,Highlights saturation-adjacent and covariance effects,Flat fields spanning the linear and high-flux range,ICCD stage-1 method/data eligibility,Bibliographic record retained with arXiv access; not a current-data PTC license,VERIFIED,2026-07-20
R19,Practical Poissonian-Gaussian noise modeling and fitting for single-image raw-data,Alessandro Foi et al.,2008,IEEE Transactions on Image Processing 17,https://doi.org/10.1109/TIP.2008.2001399,RESTORATION_PAPER,raw digital sensors,noise-level function; clipped Poisson-Gaussian,Defines an operational signal-dependent raw-noise model,Raw sensor data and identifiable signal/noise relation,ICCD stage-1 method/data eligibility,Model fit is not a detector gain calibration without controlled data,VERIFIED,2026-07-20
R20,Unprocessing Images for Learned Raw Denoising,Tim Brooks et al.,2019,CVPR,https://openaccess.thecvf.com/content_CVPR_2019/html/Brooks_Unprocessing_Images_for_Learned_Raw_Denoising_CVPR_2019_paper.html,RESTORATION_PAPER,camera RAW,synthetic raw noise and inverse pipeline,Shows why raw-domain processing history matters for synthesis,Known/assumed camera pipeline and noise parameters,ICCD stage-1 method/data eligibility,"Restoration evidence, not detector characterization standard",VERIFIED,2026-07-20
R21,A Physics-Based Noise Formation Model for Extreme Low-Light Raw Denoising,Kaixuan Wei et al.,2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Wei_A_Physics-Based_Noise_Formation_Model_for_Extreme_Low-Light_Raw_Denoising_CVPR_2020_paper.html,RESTORATION_PAPER,CMOS RAW,low-light noise components and calibration,Shows richer electronics noise matters beyond heteroscedastic Gaussian,Bias/flat/raw calibration across camera settings,ICCD stage-1 method/data eligibility,CMOS component model cannot be transplanted to ICCD without data,VERIFIED,2026-07-20
R22,A Holistic Approach to Cross-Channel Image Noise Modeling and Its Application to Image Denoising,Seonghyeon Nam et al.,2016,CVPR,https://openaccess.thecvf.com/content_cvpr_2016/html/Nam_A_Holistic_Approach_CVPR_2016_paper.html,RESTORATION_PAPER,processed RGB cameras,cross-channel processed noise,Shows processing can mix and reshape sensor noise,Repeated real images and known image pipeline context,ICCD stage-1 method/data eligibility,Current monochrome/raw-like use makes cross-channel model non-primary,VERIFIED,2026-07-20
R23,Physics-Guided ISO-Dependent Sensor Noise Modeling for Extreme Low-Light Photography,Yue Cao et al.,2023,CVPR,https://openaccess.thecvf.com/content/CVPR2023/html/Cao_Physics-Guided_ISO-Dependent_Sensor_Noise_Modeling_for_Extreme_Low-Light_Photography_CVPR_2023_paper.html,RESTORATION_PAPER,CMOS RAW,condition-dependent learned noise,Supports condition-aware modeling only when conditions are observed and calibrated,"Paired noisy/clean, flat and bias frames over ISO",ICCD stage-1 method/data eligibility,Not evidence that folder IDs or unknown ICCD settings are physical conditions,VERIFIED,2026-07-20
