candidate_id,absolute_path,previous_role,previous_status,previous_inventory_priority,previous_image_count,source_traceability,processing_status,pmrid_isolation,historical_training_or_tuning_risk,route_a_assessment,training_ready,reason,local_detail
scmos_500ms_current_100,F:\目标传感器噪声参数估计\data\500ms,debug_only,DEBUG-ONLY,C,100,AUDITED,unknown,not sufficient for training role,False,EXCLUDED,False,All 100 entries remain debug_only.,reused from frozen role and validation-source audits
pmrid_official_benchmark_gt_raw,E:\PMRID-Pytorch-main\PMRID\PMRID,validation_content_only,VALIDATION-READY,A,78,AUDITED,official paired mobile Bayer RAW benchmark GT,"Different public smartphone dataset/device; exact matches=0, perceptual-hash matches=0, max correlation=0.336421, max SSIM=0.340311",False,EXCLUDED,False,GT denotes PMRID benchmark reference only.,reused from frozen role and validation-source audits
scmos_other_exposures,F:\目标传感器噪声参数估计\data,debug_only,DEBUG-ONLY,B,2900,AUDITED,processing status unknown,not sufficient for training role,True,EXCLUDED,False,Exposure directories only; no defensible independent scene groups,reused from frozen role and validation-source audits
pmrid4_validation_previews,D:/PMRID4/data/val_cmos_images,excluded,EXCLUDED,not_in_inventory,,AUDITED,derived uint8 validation previews,not sufficient for training role,False,EXCLUDED,False,Historical derived validation previews; no evidence they were training content.,reused from frozen role and validation-source audits
pangan_local_public_samples,E:/PNGAN-main/datasets,excluded,EXCLUDED,not_in_inventory,,AUDITED,camera-processed or benchmark-derived PNG/JPEG samples,not sufficient for training role,True,DEBUG-ONLY-INCOMPLETE-PUBLIC-SUBSETS,False,Only 39 sparse sample files across seven named datasets; incomplete source subsets and parent-project history prevent formal training use.,local_sample_files=39
pmrid4_500ms_exact_copy,D:/PMRID4/data/500ms,excluded,EXCLUDED,not_in_inventory,,AUDITED,same bytes as current source,not sufficient for training role,True,EXCLUDED,False,No independent scene evidence,reused from frozen role and validation-source audits
pmrid7_historical_exposures,E:\PMRID\PMRID7\data,excluded,EXCLUDED,C,1100,AUDITED,not deeply audited,not sufficient for training role,True,EXCLUDED,False,not accepted,reused from frozen role and validation-source audits
pmrid4_training_cache,D:\PMRID4\data\cache_train,excluded,EXCLUDED,C,0,AUDITED,not deeply audited,not sufficient for training role,True,EXCLUDED,False,not accepted,reused from frozen role and validation-source audits
real_iccd_evaluation_frames,D:\iccd\data\20260319,excluded,EXCLUDED,C,2009,AUDITED,not deeply audited,not sufficient for training role,False,EXCLUDED,False,Real ICCD repeated frames used for E1 characterization/evaluation; excluded from content roles.,reused from frozen role and validation-source audits
iccd_pir_calibration_outputs,F:\ICCD_pir,excluded,EXCLUDED,C,671,AUDITED,not deeply audited,not sufficient for training role,False,EXCLUDED,False,not accepted,reused from frozen role and validation-source audits
scmos_dark_frames,F:\目标传感器噪声参数估计\data\dark_Background,excluded,EXCLUDED,C,100,AUDITED,not deeply audited,not sufficient for training role,False,EXCLUDED,False,not accepted,reused from frozen role and validation-source audits
pmrid_local_historical_training_data,E:\PMRID-Pytorch-main\Code\data,excluded,EXCLUDED,C,10666,AUDITED,not deeply audited,not sufficient for training role,True,EXCLUDED-HISTORICAL-DERIVED-TRAINING-DATA,False,10666 derived 8-bit RGB PNG patches in a historical training tree; source RAW linkage and clean provenance are not recoverable enough for formal reuse.,groundtruth_png=5333;input_png=5333;mode=RGB;shape=256x256;bit_depth=8
pmrid_noise_calibration_data,E:\PMRID-Pytorch-main\reno10x_noise,excluded,EXCLUDED,C,0,AUDITED,not deeply audited,not sufficient for training role,False,EXCLUDED,False,not accepted,reused from frozen role and validation-source audits
