method,literature_requirement,current_e1_coverage,current_data_support,already_computed,correctly_named,misnaming_risk,missing_inputs,can_be_computed_from_existing_data,requires_new_acquisition,value_for_paper,value_for_noise_model,recommendation
standard photon transfer curve,paired raw flat and dark frames across >=50 signal points,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,high,follow eligibility status
difference-frame PTC,paired same-level flats and matched bias/dark,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,high,follow eligibility status
scene-stack temporal mean-variance,repeated raw scene frames,folder-level signal and temporal variance/std computed,PARTIALLY-ELIGIBLE,yes,operational relation correctly bounded,controlled by terminology,same-scene/exposure condition unresolved,True,False,high,high,retain and rename
dark-current exposure sequence,capped matched dark stacks at >=6 exposure times,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
temporal dark noise/read-noise proxy,short-exposure matched dark stack,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
DSNU,averaged matched dark stack,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,low,follow eligibility status
PRNU,dark plus homogeneous bright stack near prescribed level,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
row/column/pixel spatial variance decomposition,dark/flat stacks or temporal-residual stacks,row/column profile energies computed on residual statistics,PARTIALLY-ELIGIBLE,yes,not standard DSNU/PRNU decomposition,controlled by terminology,controlled dark/flat missing,True,False,high,high,retain as directional residual energy
hot/defect pixel statistics,matched dark/flat stacks,not computed under method prerequisites,EXPLORATORY-ONLY,no,n/a,controlled by terminology,required controlled inputs missing,True,False,medium,low,follow eligibility status
exposure-response and linearity,controlled exposure/irradiance series,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
saturation and dynamic range,dark/noise floor and controlled saturation series,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,low,follow eligibility status
pixelwise temporal mean/std/variance,ordered repeated raw frames at fixed settings,pixelwise/folder temporal metrics and distributions,FORMALLY-ELIGIBLE,yes,correct operational scope,controlled by terminology,none for fixed ROI result,True,False,high,high,retain core
frame-difference temporal noise,paired consecutive/split repeated frames,not computed under method prerequisites,FORMALLY-ELIGIBLE,no,n/a,controlled by terminology,required controlled inputs missing,True,False,high,high,follow eligibility status
frame-count convergence,long repeated sequence,16/32/64/128 and positional subset checks,FORMALLY-ELIGIBLE,yes,correct,controlled by terminology,physical cadence missing,True,False,high,high,retain core
split-half and odd-even repeatability,ordered repeated sequence,split-map correlation and subset repeatability,FORMALLY-ELIGIBLE,yes,stable component carefully qualified,controlled by terminology,scene leakage remains,True,False,high,high,retain with observed-stable wording
frame-level DC drift,ordered repeated frames,frame mean slopes and half changes,FORMALLY-ELIGIBLE,yes,operational drift,controlled by terminology,timestamps/cadence incomplete,True,False,high,medium,retain core
time-series autocorrelation,ordered samples,lag 1/10/50 residual correlation,PARTIALLY-ELIGIBLE,yes,sample-lag only,controlled by terminology,frame interval unknown,True,False,medium,medium,retain with no Hz claim
Allan/multiscale stability,long ordered time series,not computed under method prerequisites,EXPLORATORY-ONLY,no,n/a,controlled by terminology,required controlled inputs missing,True,False,medium,low,follow eligibility status
horizontal/vertical/radial ACF of temporal residual,temporal residual fields from repeated frames,horizontal/vertical/diagonal and radial ACF,FORMALLY-ELIGIBLE,yes,source appears temporal residual in formal E1,controlled by terminology,pipeline definition should be restated in paper,True,False,high,high,retain core
2D spatial covariance,paired flats ideally; temporal residual acceptable operationally,not computed under method prerequisites,FORMALLY-ELIGIBLE,no,n/a,controlled by terminology,required controlled inputs missing,True,False,high,high,follow eligibility status
temporal-residual NPS/radial NPS,multiple temporal residual images,low/mid/high PSD fractions,FORMALLY-ELIGIBLE,yes,formal report labels operational residual spectrum,controlled by terminology,window/normalization and 2D anisotropy need explicit method,True,False,high,high,recompute/verify in P1
mean-image/fixed-pattern spectrum,averaged stack with temporal correction,not computed under method prerequisites,EXPLORATORY-ONLY,no,n/a,controlled by terminology,required controlled inputs missing,True,False,medium,low,follow eligibility status
anisotropic row/column spectral peaks,temporal residual or controlled dark/flat,not computed under method prerequisites,FORMALLY-ELIGIBLE,no,n/a,controlled by terminology,required controlled inputs missing,True,False,high,high,follow eligibility status
3D/spatiotemporal PTC,controlled dark/flat stacks across signal,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
Fano/variance-to-mean overdispersion,raw repeated data and valid mean offset,variance-to-mean Fano-like DN statistic,PARTIALLY-ELIGIBLE,yes,correctly limited in current reports,controlled by terminology,black level/gain unknown,True,False,medium,high,retain only as Fano-like operational statistic
photon-count histogram/zero-event probability,resolved photon events in verified counting mode,not computed under method prerequisites,NOT-ELIGIBLE,no,n/a,high,required controlled inputs missing,False,False,high,low,follow eligibility status
multiplication/excess-noise factor,"controlled flux, darks and multiple gain settings",not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
noise-level function/heteroscedastic Gaussian,repeated data or robust raw patches across signal,calibration-only observed-signal sigma model,PARTIALLY-ELIGIBLE,yes,correctly nonphysical,controlled by terminology,signal-scene confounding and cross-device scaling,True,False,high,high,"retain for CG, not detector gain"
Poisson-Gaussian noise model,raw data with identifiable shot/read terms,not computed under method prerequisites,EXPLORATORY-ONLY,no,n/a,controlled by terminology,required controlled inputs missing,True,False,medium,high,follow eligibility status
correlated Gaussian residual model,temporal residual covariance/NPS,not computed under method prerequisites,PARTIALLY-ELIGIBLE,no,n/a,controlled by terminology,required controlled inputs missing,True,False,medium,high,follow eligibility status
real-noise patch extraction/covariance,scene-free or paired/repeated residual patches,not computed under method prerequisites,EXPLORATORY-ONLY,no,n/a,controlled by terminology,required controlled inputs missing,True,False,medium,high,follow eligibility status
afterglow/lag and phosphor-spread characterization,impulse/event or switched illumination sequence,not computed under method prerequisites,REQUIRES-NEW-ACQUISITION,no,n/a,high,required controlled inputs missing,False,True,high,medium,follow eligibility status
