exposure_label,nominal_value_ms,path,device_assignment,field_type,frame_count,same_scene_evidence,raw_dn_status,dark_available,saturation_evidence,formal_detector_use,recovery_use,verification_level,blocking_issue
1ms,1,D:/PMRID4/data/1ms; historical F:/目标传感器噪声参数估计/data/1ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
5ms,5,D:/PMRID4/data/5ms; historical F:/目标传感器噪声参数估计/data/5ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
10ms,10,D:/PMRID4/data/10ms; historical F:/目标传感器噪声参数估计/data/10ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
15ms,15,D:/PMRID4/data/15ms; historical F:/目标传感器噪声参数估计/data/15ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
25ms,25,D:/PMRID4/data/25ms; historical F:/目标传感器噪声参数估计/data/25ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
50ms,50,D:/PMRID4/data/50ms; historical F:/目标传感器噪声参数估计/data/50ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
125ms,125,D:/PMRID4/data/125ms; historical F:/目标传感器噪声参数估计/data/125ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
250ms,250,D:/PMRID4/data/250ms; historical F:/目标传感器噪声参数估计/data/250ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
500ms,500,D:/PMRID4/data/500ms; historical F:/目标传感器噪声参数估计/data/500ms,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
1s,1000,D:/PMRID4/data/1s; historical F:/目标传感器噪声参数估计/data/1s,"sCMOS operational content family, not gated ICCD",FOLDER_LABEL_ONLY,100,matching scene0001 indices suggest a common acquisition family but not 100 independent scenes,uint16 source TIFF; processing status unknown,no matched dark proven,low saturation in deterministic prior samples,NOT-ELIGIBLE for ICCD characterization,historical paired exposure/recovery data,PARTIALLY-VERIFIED label only,"camera metadata, physical exposure tag, processing history and stable-scene proof missing"
