method_id,method_family,method_name,primary_reference,reference_type,detector_type,physical_or_operational,required_data,required_illumination,required_exposure_series,required_dark_frames,required_repeated_frames,required_metadata,required_calibration,primary_outputs,estimable_parameters,main_assumptions,main_failure_modes,applicable_to_iccd,applicable_to_current_data,evidence_level,paper_value,noise_model_value,risk_of_overclaiming
M01,PTC,standard photon transfer curve,R01;R04;R05,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,paired raw flat and dark frames across >=50 signal points,homogeneous calibrated monochromatic flat,required,matched,pairs/stacks,"exposure/irradiance, gain, temperature",radiometry and fixed camera settings,"mean-variance, gain, read noise, full well","K, read noise, saturation capacity",uniform stable illumination and linear response,"scene leakage, nonlinearity, covariance",True,False,LEVEL-S,high,high,high
M02,PTC,difference-frame PTC,R04;R05,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,paired same-level flats and matched bias/dark,uniform flat,required,matched,two or more per level,exposure/irradiance and settings,dark subtraction and pair matching,temporal variance with FPN suppression,operational/system gain if prerequisites hold,pair differences remove static spatial pattern,motion/flicker/unequal flats,True,False,LEVEL-A,high,high,high
M03,PTC,scene-stack temporal mean-variance,R14;R19,LEVEL-C,ICCD/CCD/CMOS transferable with stated limits,operational,repeated raw scene frames,ordinary scene,not required,not required,required,scene stability; settings,none,observed signal versus temporal variance,operational noise-level relation,scene and illumination stable within stack,scene/flicker/ROI confounding,True,True,LEVEL-C,high,high,controlled by terminology
M04,Dark,dark-current exposure sequence,R01;R09,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,capped matched dark stacks at >=6 exposure times,dark,required,required,required,"exposure, temperature, mode, gain",matched settings,dark mean/variance versus exposure,dark-current proxy or calibrated current,same device/mode and stable temperature,"untraced darks, compensation, hot-pixel nonlinearity",True,False,LEVEL-S,high,medium,high
M05,Dark,temporal dark noise/read-noise proxy,R01;R09,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,short-exposure matched dark stack,dark,single verified short exposure,required,required,"temperature, mode, gain",camera offset/underflow known,dark temporal std,temporal dark-noise proxy,dark current negligible or modeled,unknown compensation/mismatch,True,False,LEVEL-S,high,medium,high
M06,Spatial,DSNU,R01;R02,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,averaged matched dark stack,dark,verified,required,stack,"temperature, gain, mode",temporal-noise correction,"dark signal nonuniformity, row/col/pixel terms",DSNU1288,matched dark and standard procedure,scene or unmatched dark contamination,True,False,LEVEL-S,high,low,high
M07,Spatial,PRNU,R01;R02,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,dark plus homogeneous bright stack near prescribed level,homogeneous flat,required,matched,stack,irradiance and settings,illumination uniformity correction,photoresponse nonuniformity,PRNU1288,controlled uniform illumination,vignetting/scene texture,True,False,LEVEL-S,high,medium,high
M08,Spatial,row/column/pixel spatial variance decomposition,R01;R07,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,dark/flat stacks or temporal-residual stacks,uniform preferred,optional,depending target,required,settings and scene,temporal/spatial separation,directional variance components,row/column/pixel spatial terms,residual field isolates noise,scene edges and repeated structure,True,True,LEVEL-A,high,high,controlled by terminology
M09,Dark,hot/defect pixel statistics,R01;R09,LEVEL-A,ICCD/CCD/CMOS transferable with stated limits,physical,matched dark/flat stacks,dark/flat,useful,required for dark defects,required,"temperature, exposure, gain",threshold definition,defect rates and persistence,hot/unstable pixel rate,repeatable defect definition,threshold and scene leakage,True,True,LEVEL-A,medium,low,controlled by terminology
M10,Response,exposure-response and linearity,R01;R03,LEVEL-S,ICCD/CCD/CMOS transferable with stated limits,physical,controlled exposure/irradiance series,uniform stable,required,matched,pairs,true exposure and irradiance,radiometric setup,"response curve, linearity error","responsivity, linear range",same scene/flat and fixed settings,"folder labels, auto processing",True,False,LEVEL-S,high,medium,high
